"","regex_count","uid","method"
"1","1","pubmed-35306144","tiabkw"
"2","1","pubmed-35153718","tiabkw"
"3","2","wos:000419284200015","tiabkw"
"4","3","wos:000500342900003","tiabkw"
"5","4","wos:000506219200007","tiabkw"
"6","2","wos:000540976100001","tiabkw"
"7","1","wos:000541788700031","tiabkw"
"8","3","wos:000544612300004","tiabkw"
"9","1","wos:000548287600013","tiabkw"
"10","1","wos:000549800700001","tiabkw"
"11","1","wos:000557188800001","tiabkw"
"12","1","wos:000559408700001","tiabkw"
"13","2","wos:000562454500024","tiabkw"
"14","1","wos:000562486700006","tiabkw"
"15","1","wos:000564218500001","tiabkw"
"16","1","wos:000566237100001","tiabkw"
"17","1","wos:000567800500001","tiabkw"
"18","1","wos:000567979900001","tiabkw"
"19","4","wos:000568604600001","tiabkw"
"20","1","wos:000579388500002","tiabkw"
"21","1","wos:000582917800001","tiabkw"
"22","1","wos:000582920900001","tiabkw"
"23","2","wos:000585810200015","tiabkw"
"24","1","wos:000589984900001","tiabkw"
"25","2","wos:000596273000007","tiabkw"
"26","1","wos:000598485600005","tiabkw"
"27","2","wos:000601874600001","tiabkw"
"28","4","wos:000602877600001","tiabkw"
"29","1","wos:000603646200005","tiabkw"
"30","1","wos:000606706400003","tiabkw"
"31","2","wos:000607572600008","tiabkw"
"32","2","scopus-2-s2.0-85125845262","tiabkw"
"33","2","wos:000627410700002","tiabkw"
"34","1","pubmed-35301773","tiabkw"
"35","1","pubmed-16923396","tiabkw"
"36","1","pubmed-18596919","tiabkw"
"37","1","pubmed-35185574","tiabkw"
"38","1","pubmed-35235649","tiabkw"
"39","3","pubmed-35264925","tiabkw"
"40","2","pubmed-35272006","tiabkw"
"41","2","pubmed-35292192","tiabkw"
"42","2","pubmed-35315217","tiabkw"
"43","1","pubmed-35355405","tiabkw"
"44","1","scopus-2-s2.0-85129734990","tiabkw"
"45","3","scopus-2-s2.0-85122233678","tiabkw"
"46","1","scopus-2-s2.0-85122974131","tiabkw"
"47","1","scopus-2-s2.0-85122981640","tiabkw"
"48","4","scopus-2-s2.0-85123017145","tiabkw"
"49","1","scopus-2-s2.0-85123251301","tiabkw"
"50","1","scopus-2-s2.0-85123861609","tiabkw"
"51","3","scopus-2-s2.0-85124279771","tiabkw"
